!@1	Evil Eye of the Clawstorm
!@2	Evil Eye of the Landmass
!@3	Evil Eye of the Glowing Blob
!@4	Evil Eye of the Fairy Witch
!@5	Evil Eye of the Bane Hunter
!@6	Dogma of Suffering
!@7	Dogma of Pain
!@8	Dogma of Hatred
!@9	Dogma of Terror
!@A	Dogma of Destruction
!@B	Signet of Skill
!@c	Wisdom: -- Baal --
!0@	Kite Shield (Immortal)
!01	Naginata (1)
!02	Naginata (2)
!03	Naginata (3)
!04	Naginata (4)
!05	Naginata (5)
!06	Naginata (6)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!09	Raptor Scythe (2)
!1!	Warp Blade (3)
!1@	Balanced Knife (Immortal)
!10	Raptor Scythe (3)
!11	Raptor Scythe (4)
!12	Raptor Scythe (5)
!13	Raptor Scythe (6)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!16	Bonesplitter (2)
!17	Bonesplitter (3)
!18	Bonesplitter (4)
!19	Bonesplitter (5)
!2!	Warp Blade (4)
!2@	Crystal Sword (Immortal)
!20	Bonesplitter (6)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!23	Mammen Axe (2)
!24	Mammen Axe (3)
!25	Mammen Axe (4)
!26	Mammen Axe (5)
!27	Mammen Axe (6)
!28	Mammen Axe (Sacred)
!29	Hammerhead Axe (2)
!3!	Warp Blade (5)
!3@	Scissors Katar (Immortal)
!30	Hammerhead Axe (3)
!31	Hammerhead Axe (4)
!32	Hammerhead Axe (5)
!33	Hammerhead Axe (6)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!36	Ono (2)
!37	Ono (3)
!38	Ono (4)
!39	Ono (5)
!4!	Warp Blade (6)
!4@	War Scepter (Immortal)
!40	Ono (6)
!41	Ono (Sacred)
!42	Valaska (1)
!43	Valaska (2)
!44	Valaska (3)
!45	Valaska (4)
!46	Valaska (5)
!47	Valaska (6)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!5@	Yew Wand (Immortal)
!50	Labrys (2)
!51	Labrys (3)
!52	Labrys (4)
!53	Labrys (5)
!54	Labrys (6)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!57	Flamen Staff (2)
!58	Flamen Staff (3)
!59	Flamen Staff (4)
!6@	Long War Bow (Immortal)
!60	Flamen Staff (5)
!61	Flamen Staff (6)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!64	Marrow Staff (2)
!65	Marrow Staff (3)
!66	Marrow Staff (4)
!67	Marrow Staff (5)
!68	Marrow Staff (6)
!69	Marrow Staff (Sacred)
!7@	Throwing Axe (Immortal)
!70	Hexblade (1)
!71	Hexblade (2)
!72	Hexblade (3)
!73	Hexblade (4)
!74	Hexblade (5)
!75	Hexblade (6)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!78	Spirit Edge (2)
!79	Spirit Edge (3)
!8@	throwing Spear (Immortal)
!80	Spirit Edge (4)
!81	Spirit Edge (5)
!82	Spirit Edge (6)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!85	Holy Lance (2)
!86	Holy Lance (3)
!87	Holy Lance (4)
!88	Holy Lance (5)
!89	Holy Lance (6)
!9@	Bone Helm (Immortal)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!92	Tepoztopilli (2)
!93	Tepoztopilli (3)
!94	Tepoztopilli (4)
!95	Tepoztopilli (5)
!96	Tepoztopilli (6)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!99	Warp Blade (2)
!e@	Scythe (Immortal)
!q@	Light Plate (Immortal)
!r@	War Axe (Immortal)
!t@	Naginata (Immortal)
!w@	Thorn of Teror
!z@	Admin Charm
$$a	Dungeon Uberquest 1
e15	Preserved Head (5)
e16	Zombie Head (5)
e17	Unraveller Head (5)
e18	Gargoyle Head (5)
e19	Demon Head (5)
E2+	Weird Shrine (8 Charges)
e20	Wolf Head (6)
e21	Hawk Helm (6)
e22	Antlers (6)
e23	Falcon Mask (6)
e24	Spirit Mask (6)
e25	Jawbone Cap (6)
e26	Fanged Helm (6)
e27	Horned Helm (6)
e28	Assault Helmet (6)
e29	Avenger Guard (6)
E3+	Weird Shrine (7 Charges)
e30	Targe (6)
e31	Rondache (6)
e32	Heraldic Shield (6)
e33	Aerin Shield (6)
e34	Crown Shield (6)
e35	Preserved Head (6)
e36	Zombie Head (6)
e37	Unraveller Head (6)
e38	Gargoyle Head (6)
e39	Demon Head (6)
E4+	Weird Shrine (6 Charges)
E5+	Weird Shrine (5 Charges)
E6+	Weird Shrine (4 Charges)
E7+	Weird Shrine (3 Charges)
E8+	Weird Shrine (2 Charges)
E9+	Weird Shrine (1 Charge)
Ea2	Ea
ear	Ear
Elf	Elf
elx	Elixir
Ema	Ema
eo4	Spirit of Corruption
eo6	Spirit of Celerity
eo7	Elixir of Fire
eo8	Elixir of Cold
eo9	Elixir of Lightning
Eos	Eos
et0	Elixir of Elements
et1	Elixir of Concentration
eur	Dull Arcane Shards
eus	Regular Arcane Shards
eut	Glowing Arcane Shards
eux	Brilliant Arcane Shards
ey1	Elixir of Poison
ey2	Elixir of Experience
ey3	Elixir of Greed
ey4	Elixir of Wealth
ey5	Elixir of Strength
ey6	Elixir of Dexterity
ey7	Elixir of Energy
ey8	Elixir of Vitality
ey9	Elixir of Adrenaline
eye	Eye
eyz	Eye
F0+	Gloomy Shrine (10 Charges)
F1+	Gloomy Shrine (9 Charges)
F2+	Gloomy Shrine (8 Charges)
F3+	Gloomy Shrine (7 Charges)
F4+	Gloomy Shrine (6 Charges)
F5+	Gloomy Shrine (5 Charges)
F6+	Gloomy Shrine (4 Charges)
F7+	Gloomy Shrine (3 Charges)
F8+	Gloomy Shrine (2 Charges)
F9+	Gloomy Shrine (1 Charge)
Fae	Fae
fhl	Full Helm
fla	Flail
flb	Flamberge
flc	Falchion
fld	Field Plate
flg	Flag
fng	Fang
Fog	Fog
fu1	Potion of Stars
fu2	Potion of Power
ful	Full Plate Mail
g$a	Chipped Onyx
g$b	Flawed Onyx
g$c	Onyx
g$d	Flawless Onyx
g$e	Perfect Onyx
G0+	Tainted Shrine (10 Charges)
G1+	Tainted Shrine (9 Charges)
G2+	Tainted Shrine (8 Charges)
G3+	Tainted Shrine (7 Charges)
g33	The Gidbinn
g34	The Golden Bird
G4+	Tainted Shrine (6 Charges)
G5+	Tainted Shrine (5 Charges)
G6+	Tainted Shrine (4 Charges)
G7+	Tainted Shrine (3 Charges)
G8+	Tainted Shrine (2 Charges)
G9+	Tainted Shrine (1 Charge)
gax	Great Axe
gb0	Flying Knife
gcb	Chipped Sapphire
gcg	Chipped Emerald
gcr	Chipped Ruby
gcv	Chipped Amethyst
gcw	Chipped Diamond
gcy	Chipped Topaz
gfb	Flawed Sapphire
gfg	Flawed Emerald
gfr	Flawed Ruby
gfv	Flawed Amethyst
gfw	Flawed Diamond
gfy	Flawed Topaz
ghm	Great Helm
gig	The Human Spirit
gis	Giant Sword
gix	Giant Axe
glb	Flawless Sapphire
gld	Gold
glg	Flawless Emerald
glr	Flawless Ruby
glv	Glaive
glw	Flawless Diamond
gly	Flawless Topaz
gma	Great Maul
gok	Pearl of Wisdom
gpb	Perfect Sapphire
gpg	Perfect Emerald
gpl	Strangling Gas Potion
gpm	Choking Gas Potion
gpr	Perfect Ruby
gps	Rancid Gas Potion
gpv	Perfect Amethyst
gpw	Perfect Diamond
gpy	Perfect Topaz
gsb	Sapphire
gsc	Grand Scepter
gsd	Great Sword
gsg	Emerald
gsr	Ruby
gsv	Amethyst
gsw	Diamond
gsy	Topaz
gth	Gothic Plate
gts	Gothic Shield
Gut	Gut
gwn	Grim Wand
gzv	Flawless Amethyst
H0+	Fascinating Shrine (10 Charges)
H1+	Fascinating Shrine (9 Charges)
H2+	Fascinating Shrine (8 Charges)
H3+	Fascinating Shrine (7 Charges)
H4+	Fascinating Shrine (6 Charges)
H5+	Fascinating Shrine (5 Charges)
H6+	Fascinating Shrine (4 Charges)
H7+	Fascinating Shrine (3 Charges)
H8+	Fascinating Shrine (2 Charges)
H9+	Fascinating Shrine (1 Charge)
hal	Halberd
hax	Hand Axe
hbl	Plated Belt
hbt	Greaves
hbw	Hunter's Bow
hdm	Horadric Malus
hew	Hew
hfh	Hell Forge Hammer
hgl	Gauntlets
hla	Hard Leather Armor
hlm	Helm
Hog	Hog
hp1	Minor Healing Potion
hp2	Light Healing Potion
hp3	Healing Potion
hp4	Greater Healing Potion
hp5	Super Healing Potion
hrb	Herb
hrn	Horn
hrt	Heart
hst	Horadric Staff
hxb	Heavy Crossbow
I0+	Ornate Shrine (10 Charges)
I1+	Ornate Shrine (9 Charges)
I2+	Ornate Shrine (8 Charges)
I3+	Ornate Shrine (7 Charges)
I4+	Ornate Shrine (6 Charges)
I5+	Ornate Shrine (5 Charges)
I6+	Ornate Shrine (4 Charges)
I7+	Ornate Shrine (3 Charges)
I8+	Ornate Shrine (2 Charges)
I9+	Ornate Shrine (1 Charge)
ibk	Tome of Identify
ice	Malah's Potion
Imp	Imp
inf	Mithril Trigger
isc	Scroll of Identify
Iwa	Iwa
J0+	Sacred Shrine (10 Charges)
J1+	Sacred Shrine (9 Charges)
j10	Eagle Orb (1)
j11	Sacred Globe (1)
j12	Smoked Sphere (1)
j13	Clasped Orb (1)
j14	Jared's Stone (1)
j15	Stag Bow (1)
j16	Reflex Bow (1)
j17	Maiden Spear (1)
j18	Maiden Pike (1)
j19	Maiden Javelin (1)
J2+	Sacred Shrine (8 Charges)
j20	Katar (1)
j21	Wrist Blade (1)
j22	Hatchet Hands (1)
j23	Cestus (1)
j24	Claws (1)
j25	Blade Talons (1)
j26	Scissors Katar (1)
j27	Eagle Orb (2)
j28	Sacred Globe (2)
j29	Smoked Sphere (2)
J3+	Sacred Shrine (7 Charges)
j30	Clasped Orb (2)
j31	Jared's Stone (2)
j32	Stag Bow (2)
j33	Reflex Bow (2)
j34	A Jade Figurine
j35	Maiden Pike (2)
j36	Maiden Javelin (2)
j37	Katar (2)
j38	Wrist Blade (2)
j39	Hatchet Hands (2)
J4+	Sacred Shrine (6 Charges)
j40	Cestus (2)
j41	Claws (2)
j42	Blade Talons (2)
j43	Scissors Katar (2)
j44	Eagle Orb (3)
j45	Sacred Globe (3)
j46	Smoked Sphere (3)
j47	Clasped Orb (3)
j48	Jared's Stone (3)
j49	Stag Bow (3)
J5+	Sacred Shrine (5 Charges)
j50	Reflex Bow (3)
j51	Maiden Spear (3)
j52	Maiden Pike (3)
j53	Maiden Javelin (3)
j54	Katar (3)
j55	Wrist Blade (3)
j56	Hatchet Hands (3)
j57	Cestus (3)
j58	Claws (3)
j59	Blade Talons (3)
J6+	Sacred Shrine (4 Charges)
j60	Scissors Katar (3)
j61	Eagle Orb (4)
j62	Sacred Globe (4)
j63	Smoked Sphere (4)
j64	Clasped Orb (4)
j65	Jared's Stone (4)
j66	Stag Bow (4)
j67	Reflex Bow (4)
j68	Maiden Spear (4)
j69	Maiden Pike (4)
J7+	Sacred Shrine (3 Charges)
j70	Maiden Javelin (4)
j71	Katar (4)
j72	Wrist Blade (4)
j73	Hatchet Hands (4)
j74	Cestus (4)
j75	Claws (4)
j76	Blade Talons (4)
j77	Scissors Katar (4)
j78	Eagle Orb (5)
j79	Sacred Globe (5)
J8+	Sacred Shrine (2 Charges)
j80	Smoked Sphere (5)
j81	Clasped Orb (5)
j82	Jared's Stone (5)
j83	Stag Bow (5)
j84	Reflex Bow (5)
j85	Maiden Spear (5)
j86	Maiden Pike (5)
j87	Maiden Javelin (5)
j88	Katar (5)
j89	Wrist Blade (5)
J9+	Sacred Shrine (1 Charge)
j90	Hatchet Hands (5)
j91	Cestus (5)
j92	Claws (5)
j93	Blade Talons (5)
j94	Scissors Katar (5)
j95	Eagle Orb (6)
j96	Sacred Globe (6)
j97	Smoked Sphere (6)
j98	Clasped Orb (6)
j99	Jared's Stone (6)
jar	Jar
jav	Javelin
jaw	Jawbone
jew	Jewel
Joy	Joy
jug	Jug
k@k	The Book of Lies
K0+	Shimmering Shrine (10 Charges)
k01	Circlet (1)
k02	Coronet (1)
k03	Tiara (1)
k04	Diadem (1)
k05	Circlet (2)
k06	Coronet (2)
k07	Tiara (2)
k08	Diadem (2)
k09	Circlet (3)
K1+	Shimmering Shrine (9 Charges)
k10	Coronet (3)
k11	Tiara (3)
k12	Diadem (3)
k13	Circlet (4)
k14	Coronet (4)
k15	Tiara (4)
k16	Diadem (4)
k17	Circlet (5)
k18	Coronet (5)
k19	Tiara (5)
K2+	Shimmering Shrine (8 Charges)
k20	Diadem (5)
k21	Circlet (6)
k22	Coronet (6)
k23	Tiara (6)
k24	Diadem (6)
K3+	Shimmering Shrine (7 Charges)
K4+	Shimmering Shrine (6 Charges)
K5+	Shimmering Shrine (5 Charges)
K6+	Shimmering Shrine (4 Charges)
K7+	Shimmering Shrine (3 Charges)
K8+	Shimmering Shrine (2 Charges)
K9+	Shimmering Shrine (1 Charge)
Ker	Ker
key	Key
Key	Key
kit	Kite Shield
kri	Kris
ktr	Katar
l@l	Skinrender's Sigil
L0+	Mysterious Shrine (10 Charges)
L1+	Mysterious Shrine (9 Charges)
l10	Wand (1)
l11	Yew Wand (1)
l12	Bone Wand (1)
l13	Grim Wand (1)
l14	Wand (2)
l15	Yew Wand (2)
l16	Bone Wand (2)
l17	Grim Wand (2)
l18	Wand (3)
l19	Yew Wand (3)
L2+	Mysterious Shrine (8 Charges)
l20	Bone Wand (3)
l21	Grim Wand (3)
l22	Wand (4)
l23	Yew Wand (4)
l24	Bone Wand (4)
l25	Grim Wand (4)
l26	Wand (5)
l27	Yew Wand (5)
l28	Bone Wand (5)
l29	Grim Wand (5)
L3+	Mysterious Shrine (7 Charges)
l30	Wand (6)
l31	Yew Wand (6)
l32	Bone Wand (6)
l33	Grim Wand (6)
l34	War Hammer (1)
l35	Maul (1)
l36	Great Maul (1)
l37	War Hammer (2)
l38	Maul (2)
l39	Great Maul (2)
L4+	Mysterious Shrine (6 Charges)
l40	War Hammer (3)
l41	Maul (3)
l42	Great Maul (3)
l43	War Hammer (4)
l44	Maul (4)
l45	Great Maul (4)
l46	War Hammer (5)
l47	Maul (5)
l48	Great Maul (5)
l49	War Hammer (6)
L5+	Mysterious Shrine (5 Charges)
l50	Maul (6)
l51	Great Maul (6)
l52	Light Crossbow (1)
l53	Crossbow (1)
l54	Heavy Crossbow (1)
l55	Repeating Crossbow (1)
l56	Light Crossbow (2)
l57	Crossbow (2)
l58	Heavy Crossbow (2)
l59	Repeating Crossbow (2)
L6+	Mysterious Shrine (4 Charges)
l60	Light Crossbow (3)
l61	Crossbow (3)
l62	Heavy Crossbow (3)
l63	Repeating Crossbow (3)
l64	Light Crossbow (4)
l65	Crossbow (4)
l66	Heavy Crossbow (4)
l67	Repeating Crossbow (4)
l68	Light Crossbow (5)
l69	Crossbow (5)
L7+	Mysterious Shrine (3 Charges)
l70	Heavy Crossbow (5)
l71	Repeating Crossbow (5)
l72	Light Crossbow (6)
l73	Crossbow (6)
l74	Heavy Crossbow (6)
l75	Repeating Crossbow (6)
L8+	Mysterious Shrine (2 Charges)
L9+	Mysterious Shrine (1 Charge)
lax	Large Axe
lbb	Long Battle Bow
lbl	Sash
lbt	Boots
lbw	Long Bow
lea	Leather Armor
leg	Wirt's Leg
Ley	Ley
lgl	Leather Gloves
Loa	Loa
lok	Crystalline Flame Medallion
lrg	Large Shield
lsd	Long Sword
lst	Long Staff
ltp	Light Plate
luv	The Black Tower Key
lwb	Long War Bow
lxb	Light Crossbow
m@m	Spinecracker's Sigil
M0+	Spiritual Shrine (10 Charges)
M1+	Spiritual Shrine (9 Charges)
M2+	Spiritual Shrine (8 Charges)
M3+	Spiritual Shrine (7 Charges)
M4+	Spiritual Shrine (6 Charges)
M5+	Spiritual Shrine (5 Charges)
M6+	Spiritual Shrine (4 Charges)
M7+	Spiritual Shrine (3 Charges)
M8+	Spiritual Shrine (2 Charges)
M9+	Spiritual Shrine (1 Charge)
mac	Mace
mar	Mar
mau	Maul
maw	Maw
max	MAX
MAX	MAX
mbl	Belt
mbt	Chain Boots
mec	Meditation Candle
mgl	Chain Gloves
Moe	Moe
mp1	Minor Mana Potion
mp2	Light Mana Potion
mp3	Mana Potion
mp4	Greater Mana Potion
mp5	Super Mana Potion
mpi	Military Pick
msf	Shaft of the Horadric Staff
msk	Mask
mss	Mephisto's Soulstone
mst	Morning Star
mxb	Crossbow
N0+	Magical Shrine (10 Charges)
N1+	Magical Shrine (9 Charges)
N2+	Magical Shrine (8 Charges)
N3+	Magical Shrine (7 Charges)
N4+	Magical Shrine (6 Charges)
N5+	Magical Shrine (5 Charges)
N6+	Magical Shrine (4 Charges)
N7+	Magical Shrine (3 Charges)
N8+	Magical Shrine (2 Charges)
N9+	Magical Shrine (1 Charge)
ne1	Preserved Head
ne2	Zombie Head
ne3	Unraveller Head
ne4	Gargoyle Head
ne5	Demon Head
ne6	Mummified Trophy
ne7	Fetish Trophy
ne8	Sexton Trophy
ne9	Cantor Trophy
nea	Hierophant Trophy
neb	Minion Skull
nec	Hellspawn Skull
ned	Overseer Skull
nee	Succubus Skull
nef	Bloodlord Skull
neg	Hellspawn Skull
Nix	Nix
Nyx	Nyx
o@o	Eyegouger's Sigil
O0+	Enchanted Shrine (10 Charges)
O1+	Enchanted Shrine (9 Charges)
o10	Stag Bow (6)
o11	Reflex Bow (6)
o12	Maiden Spear (6)
o13	Maiden Pike (6)
o14	Maiden Javelin (6)
o15	Katar (6)
o16	Wrist Blade (6)
o17	Hatchet Hands (6)
o18	Cestus (6)
o19	Claws (6)
O2+	Enchanted Shrine (8 Charges)
o20	Blade Talons (6)
o21	Scissors Katar (6)
O3+	Enchanted Shrine (7 Charges)
O4+	Enchanted Shrine (6 Charges)
O5+	Enchanted Shrine (5 Charges)
O6+	Enchanted Shrine (4 Charges)
O7+	Enchanted Shrine (3 Charges)
O8+	Enchanted Shrine (2 Charges)
O9+	Enchanted Shrine (1 Charge)
ob1	Eagle Orb
ob2	Sacred Globe
ob3	Smoked Sphere
ob4	Clasped Orb
ob5	Jared's Stone
ob6	Glowing Orb
ob7	Crystalline Globe
ob8	Cloudy Sphere
ob9	Sparkling Ball
oba	Swirling Crystal
obb	Heavenly Stone
obc	Eldritch Orb
obd	Demon Heart
obe	Vortex Orb
obf	Dimensional Shard
opl	Fulminating Potion
opm	Exploding Potion
ops	Oil Potion
Orb	Orb
Orc	Orc
p@p	Fleshcutter's Sigil
P0+	Divine Shrine (10 Charges)
P1+	Divine Shrine (9 Charges)
P2+	Divine Shrine (8 Charges)
P3+	Divine Shrine (7 Charges)
P4+	Divine Shrine (6 Charges)
P5+	Divine Shrine (5 Charges)
P6+	Divine Shrine (4 Charges)
P7+	Divine Shrine (3 Charges)
P8+	Divine Shrine (2 Charges)
P9+	Divine Shrine (1 Charge)
pa1	Targe
pa2	Rondache
pa3	Heraldic Shield
pa4	Aerin Shield
pa5	Crown Shield
pa6	Akaran Targe
pa7	Akaran Rondache
pa8	Protector Shield
pa9	Gilded Shield
paa	Royal Shield
pab	Sacred Targe
pac	Sacred Rondache
pad	Kurast Shield
pae	Zakarum Shield
paf	Vortex Shield
pax	Poleaxe
pik	Pike
pil	Pilum
Pit	Pit
plt	Plate Mail
POW	Barbarian Captive
pox	Pox
pus	Pus
q@q	Bonehexer's Sigil
Q0+	Hidden Shrine (10 Charges)
Q1+	Hidden Shrine (9 Charges)
Q2+	Hidden Shrine (8 Charges)
Q3+	Hidden Shrine (7 Charges)
Q4+	Hidden Shrine (6 Charges)
Q5+	Hidden Shrine (5 Charges)
Q6+	Hidden Shrine (4 Charges)
Q7+	Hidden Shrine (3 Charges)
Q8+	Hidden Shrine (2 Charges)
Q9+	Hidden Shrine (1 Charge)
qbr	Khalim's Brain
qey	Khalim's Eye
qf1	Khalim's Flail
qf2	Khalim's Will
qhr	Khalim's Heart
qin	Ring (Sacred)
qll	Quill
qmu	Amulet (Sacred)
qqc	Bolt Quiver (Sacred)
qqv	Arrow Quiver (Sacred)
qui	Quilted Armor
qul	Arcane Shards
qum	Arcane Crystal
qus	Regular Arcane Crystal
qut	Glowing Arcane Crystal
qux	Brilliant Arcane Crystal
quy	Dazzling Arcane Crystal
quz	Boom!
r@r	Ring of the Five
R0+	Stone Shrine (10 Charges)
r01	El Rune
r02	Eld Rune
r03	Tir Rune
r04	Nef Rune
r05	Eth Rune
r06	Ith Rune
r07	Tal Rune
r08	Ral Rune
r09	Ort Rune
R1+	Stone Shrine (9 Charges)
r10	Thul Rune
r11	Amn Rune
r12	Sol Rune
r13	Shael Rune
r14	Dol Rune
r15	Hel Rune
r16	Io Rune
r17	Lum Rune
r18	Ko Rune
r19	Fal Rune
R2+	Stone Shrine (8 Charges)
r20	Lem Rune
r21	Pul Rune
r22	Um Rune
r23	Mal Rune
r24	Ist Rune
r25	Gul Rune
r26	Vex Rune
r27	Ohm Rune
r28	Lo Rune
r29	Sur Rune
R3+	Stone Shrine (7 Charges)
r30	Ber Rune
r31	Jah Rune
r32	Cham Rune
r33	Zod Rune
r34	Sha Rune
r35	Lah Rune
r36	Kur Rune
r37	Ix Rune
r38	Thur Rune
r39	Nas Rune
R4+	Stone Shrine (6 Charges)
r40	Ath Rune
r41	Kra Rune
r42	Vith Rune
r43	No Rune
r44	Yul Rune
r45	Thai Rune
r46	Rha Rune
r47	Xar Rune
r48	Nih Rune
r49	Lai Rune
R5+	Stone Shrine (5 Charges)
r50	On Rune
r51	Taha Rune
r52	Ghal Rune
r53	Qor Rune
r54	Krys Rune
r55	Auhe Rune
r56	Sha'ad Rune
R6+	Stone Shrine (4 Charges)
R7+	Stone Shrine (3 Charges)
R8+	Stone Shrine (2 Charges)
R9+	Stone Shrine (1 Charge)
Ram	Ram
Red	Red
rin	Ring
rip	Ripper
rng	Ring Mail
Roc	Roc
Rod	Rod
Rot	Rot
rvl	Full Rejuvenation Potion
rvs	Rejuvenation Potion
rxb	Repeating Crossbow
s@s	Assur's Bane
S0+	Religious Shrine (10 Charges)
s0m	Book of Summoning
S1+	Religious Shrine (9 Charges)
S2+	Religious Shrine (8 Charges)
S3+	Religious Shrine (7 Charges)
S4+	Religious Shrine (6 Charges)
S5+	Religious Shrine (5 Charges)
S6+	Religious Shrine (4 Charges)
S7+	Religious Shrine (3 Charges)
S8+	Religious Shrine (2 Charges)
S9+	Religious Shrine (1 Charge)
saw	Saw
sbb	Short Battle Bow
sbr	Sabre
sbw	Short Bow
scl	Scale Mail
scm	Scimitar
scp	Scepter
scy	Scythe
scz	Scalp
Sin	Sin
skc	Chipped Skull
skf	Flawed Skull
skl	Flawless Skull
skp	Skull Cap
skr	Scissors Katar
sku	Skull
Sky	Sky
skz	Perfect Skull
sml	Small Shield
sol	Soul
spc	Spiked Club
spe	Spleen
spk	Spiked Shield
spl	Splint Mail
spr	Spear
spt	Spetum
ssd	Short Sword
ssp	Short Spear
sst	Short Staff
stu	Studded Leather
Sun	Sun
swb	Short War Bow
t@t	Demonsbane
T0+	Cryptic Shrine (10 Charges)
T1+	Cryptic Shrine (9 Charges)
T2+	Cryptic Shrine (8 Charges)
T3+	Cryptic Shrine (7 Charges)
T4+	Cryptic Shrine (6 Charges)
T5+	Cryptic Shrine (5 Charges)
T6+	Cryptic Shrine (4 Charges)
T7+	Cryptic Shrine (3 Charges)
T8+	Cryptic Shrine (2 Charges)
T9+	Cryptic Shrine (1 Charge)
tal	Tail
Tao	Tao
Tau	Tau
tax	Throwing Axe
tbk	Tome of Town Portal
tbl	Heavy Belt
tbt	Light Plated Boots
tch	Torch
tgl	Light Gauntlets
Tin	Tin
tkf	Throwing Knife
toa	Belladonna Extract (Respec potion)
tow	Tower Shield
tr1	Horadric Scroll
tr2	Scroll of Resistance
tri	Trident
tsc	Scroll of Town Portal
tsp	Throwing Spear
ttt	Concoction of Necromancy
u@v	I Am Rich
uap	Shako
uar	Sacred Armor
ucl	Loricated Mail
uea	Wyrmhide
uh9	Bone Visage
uhb	Myrmidon Greaves
uhc	Colossus Girdle
uhf	Legendary Mallet
uhg	Ogre Gauntlets
uhl	Giant Conch
uhm	Spired Helm
uhn	Boneweave
uit	Monarch
ukp	Hydraskull
ula	Scarab Husk
ulb	Wyrmhide Boots
ulc	Spiderweb Sash
uld	Kraken Shell
ulg	Bramble Mitts
ulm	Armet
ult	Hellforge Plate
umb	Boneweave Boots
umc	Mithril Coil
umg	Vambraces
uml	Luna
ung	Diamond Mail
uow	Aegis
upk	Blade Barrier
upl	Balrog Skin
urg	Hyperion
urn	Corona
Urn	Urn
urs	Great Hauberk
Use	Use Gem
ush	Troll Nest
usk	Demonhead
utb	Mirrored Boots
utc	Troll Belt
utg	Crusader Gauntlets
uth	Lacquered Plate
utp	Archon Plate
uts	Ward
utu	Wire Fleece
uuc	Heater
uui	Dusk Shroud
uul	Shadow Plate
uvb	Scarabshell Boots
uvc	Vampirefang Belt
uvg	Vampirebone Gloves
vbl	Light Belt
vbt	Heavy Boots
vex	Vex
vgl	Heavy Gloves
vic	Victim's Heart
vip	Top of the Horadric Staff
vou	Voulge
vps	Stamina Potion
w@w	Cold Fusion Schematics
w10	Wolf Head (1)
w11	Hawk Helm (1)
w12	Antlers (1)
w13	Falcon Mask (1)
w14	Spirit Mask (1)
w15	Jawbone Cap (1)
w16	Fanged Helm (1)
w17	Horned Helm (1)
w18	Assault Helmet (1)
w19	Avenger Guard (1)
w20	Targe (1)
w21	Rondache (1)
w22	Heraldic Shield (1)
w23	Aerin Shield (1)
w24	Crown Shield (1)
w25	Preserved Head (1)
w26	Zombie Head (1)
w27	Unraveller Head (1)
w28	Gargoyle Head (1)
w29	Demon Head (1)
w30	Wolf Head (2)
w31	Hawk Helm (2)
w32	Antlers (2)
w33	Falcon Mask (2)
w34	Spirit Mask (2)
w35	Jawbone Cap (2)
w36	Fanged Helm (2)
w37	Horned Helm (2)
w38	Assault Helmet (2)
w39	Avenger Guard (2)
w40	Targe (2)
w41	Rondache (2)
w42	Heraldic Shield (2)
w43	Aerin Shield (2)
w44	Crown Shield (2)
w45	Preserved Head (2)
w46	Zombie Head (2)
w47	Unraveller Head (2)
w48	Gargoyle Head (2)
w49	Demon Head (2)
w50	Wolf Head (3)
w51	Hawk Helm (3)
w52	Antlers (3)
w53	Falcon Mask (3)
w54	Spirit Mask (3)
w55	Jawbone Cap (3)
w56	Fanged Helm (3)
w57	Horned Helm (3)
w58	Assault Helmet (3)
w59	Avenger Guard (3)
w60	Targe (3)
w61	Rondache (3)
w62	Heraldic Shield (3)
w63	Aerin Shield (3)
w64	Crown Shield (3)
w65	Preserved Head (3)
w66	Zombie Head (3)
w67	Unraveller Head (3)
w68	Gargoyle Head (3)
w69	Demon Head (3)
w70	Wolf Head (4)
w71	Hawk Helm (4)
w72	Antlers (4)
w73	Falcon Mask (4)
w74	Spirit Mask (4)
w75	Jawbone Cap (4)
w76	Fanged Helm (4)
w77	Horned Helm (4)
w78	Assault Helmet (4)
w79	Avenger Guard (4)
w80	Targe (4)
w81	Rondache (4)
w82	Heraldic Shield (4)
w83	Aerin Shield (4)
w84	Crown Shield (4)
w85	Preserved Head (4)
w86	Zombie Head (4)
w87	Unraveller Head (4)
w88	Gargoyle Head (4)
w89	Demon Head (4)
w90	Wolf Head (5)
w91	Hawk Helm (5)
w92	Antlers (5)
w93	Falcon Mask (5)
w94	Spirit Mask (5)
w95	Jawbone Cap (5)
w96	Fanged Helm (5)
w97	Horned Helm (5)
w98	Assault Helmet (5)
w99	Avenger Guard (5)
wax	War Axe
WCC	Weighted Companion Cube
web	Web
whm	War Hammer
wms	Thawing Potion
wnd	Wand
wow	You can't see this sentence.
wrb	Wrist Blade
wsc	War Scythe
wsd	War Sword
wsp	War Scepter
